question,answer,product,technologies
Why do I need an Electrical Operating Permit?,"An Electrical Operating Permit is necessary to ensure that a qualified individual is responsible for your technical equipment on your premises. This includes the safe operation, maintenance, and inspection of equipment, as well as ensuring that the appropriate records are maintained and available on request by safety officers. Under the supervision of a Field Safety Representative (FSR), owners can conduct regular maintenance work without having to take out multiple electrical installation permits.

Operating permits are necessary to satisfy requirements for operation and maintenance of electrical equipment specified in the Safety Standards All Regulation and BC Electrical Code Regulation; and ensure that maintenance of electrical equipment is monitored by qualified individuals.",Permit,Electrical
Who needs a Gas Operating Permit?,"An individual who owns or operates one of the following is required to have a gas operating permit:
1. An industrial or commercial facility with appliances used for processing or process water heating with a total input greater than 1500 kW used for purposes other than space heating or domestic water heating.
2. Facilities where regulated gas products are installed on vehicles for purposes other than vehicle fuel systems.
3. Facilities where regulated gas products are installed on vehicles as part of the vehicle fuel system.
4. Portable appliances with an input greater than 300 kW that can be transported from site to site.
5. Facilities that maintain portable heating appliances of input equal to or less than 300 kW.
6. Facilities that fill containers with gas as defined under the Gas Safety Regulation.
7. Propane bulk plants.
8. Gas utilities.
Additionally, the following operating permit holders must have a surety bond in order to perform regulated work:
1. Facilities where regulated gas products are installed on vehicles as part of the vehicle fuel system.
2. Facilities where regulated gas products are installed on vehicles for purposes other than vehicle fuel systems.
For more details, you can review section 28 of the Gas Safety Regulations.",Permit,Gas
Who needs a Boiler Operating Permit?,"Owners, operators, or managers of facilities containing regulated boiler and pressure vessel equipment require an operating permit. This includes commercial properties, industrial plants, mills, manufacturing plants, multi-unit office buildings, multi-unit residential buildings (condominiums, townhouses), schools, hospitals, and municipal facilities.

For boiler plants, owners of boiler plants that are fifth class and above, as well as oil well boiler plants, need to register their plants and obtain a plant operating permit. Pressure plants (plants that only have pressure vessels attached, and no other boilers or types of equipment) do not require a plant operating permit.",Permit,BPVR
Who needs an Elevating Devices operating permit?,"Building or property owners, All contractors, developers, and property managers of active elevating devices require an operating permit. Once your elevating device design has been registered and installed, and has passed the acceptance inspection, an operating permit invoice will be automatically issued. The permit must be paid for within 60 days of passing the acceptance inspection. Operating permits expire after one year and must be renewed before the expiry date to continue operations using this permit. If you or your company is no longer responsible for the address registered with us, you need to complete the Change of Ownership form.",Permit,Elevating Devices
Who needs an Amusement operating permit?,"Owners and operators of amusement rides and devices, such as waterslides, ziplines, train rides, wakeboard tows, and inflatables, require an amusement device operating permit. This permit is issued by Technical Safety BC.",Permit,Amusement Devices
Who needs a Passenger Ropeway operating permit?,"Operating permits for passenger ropeways are required for owners and operators of tramways, gondolas, chairlifts, surface lifts, rope tows, and passenger conveyors. Once your passenger ropeway has been installed and has passed the acceptance inspection, an operating permit invoice will be automatically issued. The permit must be paid for within 60 days of passing the acceptance inspection. Please note that operating permits expire after one year and must be renewed before the expiry date to continue operations.",Permit,Passenger Ropeways
Why do I need an Railway operating permit?,A Railway Operating Permit is required to ensure that railway operations are conducted safely and in accordance with the Railway Act and Railway Safety Act of British Columbia. Companies that move railway equipment on provincial land are required to become certified railways under provincial legislation. This certification process includes obtaining a Railway Operating Permit. The permit ensures that the railway is subject to regulatory oversight by the Railway Safety Program and is in compliance with all legislation and associated fees. Failure to certify as a railway may lead to actions and penalties as described within the provincial railway legislation.,Permit,Railway
Why do I need an Refrigeration operating permit?,"An operating permit is required for refrigeration systems and equipment to ensure safety and compliance with regulations. Owners, operators, or managers of facilities containing regulated refrigeration systems and equipment are required to have an operating permit. This includes commercial properties, industrial plants, mills, manufacturing plants, multi-unit office buildings, multi-unit residential buildings (condominiums, townhouses), single unit residential buildings (if they have a refrigeration system containing flammable or toxic refrigerant), schools, hospitals, and municipal facilities.",Permit,BPVR
How long do I have to wait before I can rewrite my exam after failing?,"If an examinee fails an exam, they will need to wait 30 days after the previous examination to rebook. If an examinee fails their third or subsequent attempts, the examinee will need to request permission to take a fourth or subsequent attempt.",Certification,Gas
What is the process for me to get a gas homeowner permit?,"To obtain a gas homeowner permit, you need to follow these steps:

1. Identify the need for a permit: A gas homeowner permit is required for many kinds of home alterations. This includes, but is not limited to, installing or replacing all gas appliances such as a furnace, water heater, fireplace, boiler, range or cooktop; installing or replacing gas piping or vent systems; and installing built-in gas barbecues. Replacing an existing plug-in style gas barbecue does not require a permit.
2. Apply for a Permit: Homeowners can apply for a permit online. However, if you are hiring a licensed contractor, your contractor will apply on your behalf. Check to ensure there is one in place before work begins. Owners of a strata, non-strata duplex, and those operating a business from their home cannot obtain homeowner permits and must hire a licensed contractor.
3. Request an Inspection: At each stage of construction, and after the work is completed, submit the Gas Homeowner Inspection Request form. You must request at least one inspection within 180 days of the date the permit was issued.
4. Jurisdiction: Depending on where your property is located, either Technical Safety BC or your municipality will issue the permit. You can check your jurisdiction here.",Permit,Gas
What is the process for me to get a electrical homeowner permit?,"To obtain an electrical homeowner permit, you need to follow these steps:
1. Identify the need for a permit: An electrical homeowner permit is required for many kinds of home alterations. This includes, but is not limited to, replacing light fixtures or ceiling fans, installing or moving light switches or electrical outlets, installing electrical wiring for renovations, including solar installations, and connecting permanently-installed electrical equipment such as a dishwasher, over-range microwave or hood, security camera, or heat pump. However, replacing existing switches, receptacles, or electrical outlets do not require a permit if performed by a licensed contractor.
2. Apply for a Permit: Homeowners can apply for a permit online here. However, if you are hiring a licensed contractor, your contractor will apply on your behalf. Check to ensure there is one in place before work begins. Owners of a strata, non-strata duplex, and those operating a business from their home cannot obtain homeowner permits and must hire a licensed contractor.
3. Request an Inspection: If the work is performed under a homeowner permit, the homeowner must submit a declaration form after each phase of work is completed, or every 180 days, whichever comes first. Complete the Electrical Homeowners Inspection Request form here within 180 days of the date the permit was issued.
4. Jurisdiction: Depending on where your property is located, either Technical Safety BC or your municipality will issue the permit. You can check your jurisdiction.",Permit,Electrical
How do I register to become an Mechanic in training?,"To register as a Mechanic-in-Training (MIT) for elevating devices in BC, you need to follow these steps:
1. You must work for a licensed Elevating Devices contractor in BC, that matches the class you�re applying for.
2. Complete 24 hours of safety training.
3. To apply, log in to your Online Services account and follow the steps. If you don't have an account, you can sign up here now.
Once you are registered, you must enroll in an Apprenticeship Training Program within one year of becoming an MIT. You will then follow the relevant program outline based on your class (A, C, or H). You will also receive a Skills Passport to track and record workplace achievements, which will qualify as scope of work endorsements when you finish your apprenticeship and apply to become a certified Elevating Devices Mechanic.",Certification,Elevating Devices
How do I apply for my Class A Elevating Mechanics Certificate?,"To apply for the Elevating Devices Mechanic - Class A certification, you must first complete your apprenticeship program and any supplementary training as specified in the Class A Program Outline. You also need to have 8000 hours of work experience. Once these requirements are met, you can apply by logging into your Online Services account and following the steps. If you don't have an account, you can sign up. Alternatively, you can apply by mail by filling out the Contact Us form to request a paper form. After you have submitted your application and declaration forms and paid the applicable fee, your qualifications will be evaluated. If successful, you will be contacted and you will be able to apply for the Elevating Devices - Class A exam.",Certification,Elevating Devices
How do I renew my Class A Elevating Mechanic Certificate?,"To renew your Elevating Devices Mechanic - Class A certificate, you need to log into your Online Services account and follow the steps provided. If you don't have an account, you can sign up. Your Class A certificate is valid for three years after the date of issue.

Before renewing your certificate, you must complete 24 hours of continuing education training. This training must consist of 6 hours of trade-specific safety training related to the regulated activities you are required to perform within the scope of your certificate class, 6 hours of Act, regulations and code training, and 12 hours of technical training related to technical competencies listed in your class certificate program outline.

If you do not renew your certificate but continue to perform regulated work, you put yourself and others at risk. Consequences for working with an expired certificate include a compliance order or monetary penalty issued by a safety officer, work stoppage, requirement to apply for a new certification and pay any associated fees, and possibly having to write an examination and complete an interview.",Certification,Elevating Devices
Do wheelchair lifts require a permit?,"Yes, wheelchair lifts, which fall under the category of home elevating devices, require an installation permit. The installation of these devices must be completed according to Canadian Standards Association code to ensure the safety of users. The design of a lift or residential elevator installation is typically complex, involving architectural, structural, and electrical elements. Therefore, it is not a project to be tackled by a handyman.

For the installation of a lift or residential elevator, you will likely need a building permit. A building permit is necessary whenever the installation of a lift or residential elevator requires structural changes to the house or affects safety systems such as stairs, fire separations, and guardrails. Electrical permits are required when any changes are made to electrical wiring in your home.",Permit,Elevating Devices
"I have a medical condition, can I get more time on my exam or a separate room?","Yes, Technical Safety BC is committed to providing every exam candidate with an equal opportunity to demonstrate their knowledge, skills, and competencies. They provide a variety of accessibility accommodations for candidates with disabilities or medical conditions. While completing your accessibility accommodation request, you will need to demonstrate support by a qualified professional, which includes a medical professional, an educational psychologist, or teacher, professor or instructor, a high school or university accessibility specialist, or an employee in an accessibility services office. If your accommodation request is approved, you can expect to write your exam approximately three weeks after your submission, pending available exam times. The accessible accommodation that you ask for will be valid for one year from the date the accommodation is approved and will be available for any exams you write during this one-year period. If you pass your examination and all other certification requirements, they will consider whether your medical condition or learning disability could impact your ability to perform regulated work safely. A further assessment of your ability to perform safety critical work by a medical practitioner or other occupational assessment expert may be required and terms & conditions may be added to your certificate of qualification.",Certification,All
How do I update my QC manual in boiler and pressure vessel?,"To update your Quality Control (QC) manual for boiler and pressure vessel, you need to submit your revised quality control program along with a completed application form via the contact form on the Technical Safety BC website. This is required for contractor license classes A, Au, Ap, PW, SRV, and MA. Please note that changes such as these require a safety services fee.",License,BPVR
How can I search for a permit?,"You can search for a permit using the Permit Lookup Tool provided by Technical Safety BC. This tool allows you to find out if a permit exists and whether it's active.

Please note that permits are necessary to ensure that the work on your property or business is safe and that the maintenance or operation of regulated equipment is done properly.",Permit,All
How do I find a licensed contractor?,"You can find a licensed contractor by using the ""Find a Licensed Contractor"" tool on the Technical Safety BC website. You can enter the company name or license number in the search tool. If you are looking for a specific contractor and cannot find the company name on the public registry, you may want to ask the contractor if they are licensed and request their license number, which you can use to target your search. Only active licenses are shown in the public registry. If a contractor is licensed to perform regulated work within TSBC's technologies in BC, they will be listed in the registry. If you cannot find your contractor, they may not have an active license and are not authorized to perform regulated work. Unlicensed work can be reported through the incident form or hazard reporting line at 1-866-566-7233.",License,All
How many days notice do I have to cancel my exam without a fee?,"If you need to cancel your online exam, you can do so without penalty up to two days in advance of your exam date. If you need to cancel your in-person exam, you can cancel up to five days in advance of your exam date. If you need to rebook your exam, you should do so well in advance of your cancellation cutoff, or you will forfeit payment and have to pay again for your new exam. Please note that if you need to rebook or cancel after the cancellation date has passed, you must pay an additional exam fee when you go to rebook.",Certification,All
What ID do I need to write my exam?,"To write your exam, you must bring a valid and current government-issued photo identification. Acceptable forms of ID include a Driver�s License issued by a Canadian province or territory, a Provincial Identification Card (for example, BC Identification card, Alberta Identification card), a BC Services card, a Combination Driver's License and BC Services card, a Passport, an Indian Status card, or a Canadian Permanent Residency card. Please note that your ID must be original, legible, and not torn or altered. Copies or certified copies are not accepted. Expired IDs or IDs with no expiry date are also not accepted. You cannot write your exam without proper identification. This will result in having to reschedule your exam and paying any necessary rescheduling fees.",Certification,All
Can I use a temp drivers license to write my exam?,"Based on the information provided, you are required to bring a valid and current government-issued photo identification for the exam. Acceptable IDs include a Driver�s License issued by a Canadian province or territory, Provincial Identification Card, BC Services Card, Combination Driver's License and BC Services Card, Passport, Indian Status Card, and Canadian Permanent Residency Card. All these documents must be original, legible, and not torn or altered in any way. Copies or certified copies will not be accepted. Expired identification and identification with no expiry date will not be accepted. However, it is not explicitly mentioned whether a temporary driver's license is acceptable.",Certification,All
What materials can I bring to the exam?,"The materials you can bring to the exam depend on the type of exam you are taking. For in-person exams, you must bring a valid and current government-issued photo identification (ID). You are also allowed to bring your code books and other permitted reference materials. For online exams, you may use two blank sheets of paper and a pen for writing your own notes or calculations, a non-programmable calculator, and permitted code books and other reference materials.

For specific exams, such as the RV Installation and Service Exam, you can bring CSA Z240.4.2 and CSA-B149.5. For the Vehicle Conversion (LPG) exam, you can bring CSA B149.5. For the Vehicle Conversion (CNG) exam, you can bring CSA B109 Part I.

Please note that the reference material you can bring and use differs depending on the exam you are writing.",Certification,All
What do you supply for the exam?,"For in-person exams, Technical Safety BC provides a laptop, a link to the dictionary, links to the Safety Standards Act, Regulations, directives, and information bulletins, a non-programmable calculator, and two blank sheets of paper and a pen. For essay exams, in addition to the above, an exam booklet, T-square or drawing board are also provided.

For online exams, links to the dictionary, the Safety Standards Act, the Safety Standards All Regulation, safety orders, directives, and information bulletins are provided.

Please note that online versions of the Safety Standards Act, regulations, and directives are provided. You may choose to bring your own hard copy materials instead.",Certification,All
Can I use post it notes in by code books for my exam?,"No, you are not allowed to use post-it or sticky notes in your code books during the exam. Code books must not have any extra sheets of paper. Acceptable markings in the code book include clarifications or notes to define or clarify a legal or technical term, references or tables to mark sections for easy reference, highlighting or marking important sections, and page references to locate the relevant appendices and tables/charts. Any inserted pages, notations, exam answers, sticky notes, and crib sheets are not acceptable.",Certification,All
Can I have writing in my code book for my exam?,"Yes, you can have certain types of markings in your code book during your exam. However, the type of markings allowed can vary depending on the exam you are taking.

For example, for Electrical Exams, acceptable markings in the code books include clarifications or notes to define or clarify a legal or technical term, references or tables to mark sections for easy reference, highlighting or marking important sections, underlining or any other marking is permitted, and page references to sections to locate the relevant appendices and tables or charts.

On the other hand, for exams like the RV Installation and Service Exam, Vehicle Conversion (LPG), and Vehicle Conversion (CNG), acceptable markings in the code book include highlighting or marking important sections; underlining or any other marking is not permitted. References or tables to mark sections for easy reference are allowed, but self-created references or tables are not allowed. Page references to sections to locate relevant appendices and tables or charts are also permitted.

Please note that any inserted pages, notations, exam answers, sticky notes, and crib sheets are not acceptable.",Certification,All
Can I have highlighting in my code books?,"Yes, you are allowed to have highlighting in your code books for marking important sections. However, underlining or any other marking is not permitted. This information is based on the documents provided by Technical Safety BC.",Certification,All
Can I write my exam at the library?,"For online exams, you must take the exam in a private, quiet space. No other person is allowed to enter the room while you are taking the exam. The lighting in the room must be bright enough to be considered ""daylight"" quality. Overhead lighting is preferred. If overhead lighting is not available, the source of light must not be behind you. The exam room must be free of recording or listening devices, whiteboards, easels, flipcharts, or any other medium that could be used to record or project information. Therefore, a library may not be suitable if it does not meet these requirements",Certification,All
Can I write my exam using a tablet?,"No, you cannot write your exam using a tablet. The exam must be taken on a desktop or personal laptop computer. Mobile devices such as smartphones or tablets are not permitted for taking the exam.",Certification,All
What locations do you offer the exams at?,"Technical Safety BC offers exams at several locations across British Columbia. These include:
1. Cranbrook
2. Nanaimo
3. Vancouver Island University
4. Vancouver
5. Langley
6. Kelowna
7. Fort St. John
8. Prince George
9. Victoria
10. Kamloops
Please note that some of these locations may be closed due to recent Public Health Orders. The Vancouver office is open for appointments and drop-in service, while all other offices offer services by appointment only.",Certification,All
Can I write my Power Engineer Exam online?,"Based on the provided context, Power Engineer exams are held in-person across most of the offices in BC. You can book your exam online if you have an Online Services account. You can choose your date, time, and location for the exam. However, the actual exam is conducted in-person, not online.",Certification,BPVR
How can I apply to be a Class A Pressure Welder?,"To apply for a Class A Pressure Welder Certificate of Qualification, you need to meet certain eligibility requirements and pass a practical exam.

Eligibility requirements include having one of the following:

1. A BC welder certificate issued by Skilled Trades BC and endorsed with a Red Seal credential.
2. A BC welder level A or B certificate issued by Skilled Trades BC.
3. A welder trade qualification, endorsed with or without a Red Seal credential, by an apprenticeship authority in another jurisdiction of Canada.
The practical exam is 4.5 hours long and must be completed through an accepted host location, under the supervision of a Technical Safety BC boiler safety officer.

Once you receive your certificate, you must ensure that you have obtained a Welder�s Log Book. Your Class A certificate allows you to take performance qualification tests, which you must complete before engaging in pressure welding work on regulated equipment. The continuity (employment) section of your Welder�s Log Book must also be updated in accordance with the requirements of ASME Section IX, for the applicable welding process(es).

You must renew your certificate every three years.",Certification,BPVR
"I have my pressure welding certificate in another province, can I transfer that here?","Yes, you can transfer your pressure welding certificate to BC. If you have a pressure welding certificate from another province or territory, you can apply for a Class A Pressure Welder certificate in BC. To be eligible, you must have one of the following:

1. Welder trade qualification with or without a Red Seal endorsement issued by an apprenticeship authority in another jurisdiction of Canada.
2. Canadian credential authorizing you to perform pressure welding in another Canadian jurisdiction, equivalent to the regulated work of a pressure welder certificate authorized to perform under the Power Engineers, Boiler, Pressure Vessel and Refrigeration Safety Regulation.
In addition to the above, you must also have a current performance qualification for SMAW F3/F4 or GTAW/SMAW F6/F4, as administered by your jurisdiction.

To apply, you can log in to your Online Services account and follow the steps. If you don't have an account, you can sign up for one. If you wish to apply by mail, please fill out the Contact Us form to request a paper form. Once your application is received and a review of eligibility is completed, you will be notified of your result by email. If the review is successful, you will also receive a wallet card by mail via Canada Post.

Once you have successfully obtained the Class A Pressure Welder certificate, you will need to obtain a welder logbook from SkilledTradesBC before you begin performance qualification testing for welding procedures registered in BC. Performance qualification testing must be administered by a recognized test administrator.",Certification,BPVR
How do I renew my Class A Pressure Welder Certificate?,"To renew your Class A Pressure Welder certificate, you can use your Online Services account up to six months prior to your certificate�s expiry date. The certificate is valid for three years after the date of issue and will expire on your birthday.

To successfully renew, you must take a performance qualification test with a recognized test administrator, and this can be completed up to six months in advance of your certificate expiry date. You can view the Class A renewal syllabus for full details.

When you are ready to submit your application for renewal, you should include picture(s) or scan(s) of your updated welder�s logbook with the entry made by the test administrator for the renewal performance qualification test (must be dated no more than 6 months prior to the certification expiry date); and a copy of the welding performance qualification record (e.g.: ASME Form QW-484A) issued by the recognized test administrator for the renewal performance qualification test (test must be successfully completed no more than 6 months prior to the certification expiry date).

For your qualification test, you will need your welder�s logbook and the welding procedure specification you wish to use to successfully complete a performance qualification test.

Please note that if you do not renew your certificate, but continue to perform regulated work, you will be non-compliant with the Safety Standards Act and associated regulations. You may be subject to enforcement action and a safety officer may stop your work in the field.",Certification,BPVR
I have out of country credentials and want to be a power engineer in BC.  How can I apply?,"If you have qualifications and experience as a power engineer from outside of Canada, there are two streams available for recognition in BC.

Stream one is for those who already hold acceptable Boiler Operator Credentials and have more than 18 months of experience operating a third class boiler plant or equivalent in a position requiring the credential. These applications are assessed at Third Class or higher Power Engineer certificate level.

Stream two is for those who do not hold any acceptable Boiler Operator Credentials but have at least 18 months of international experience related to the operation, design, construction, repair, or maintenance of boiler equipment. These applications are assessed as either a Fourth or Fifth Class Power Engineer certificate level.

To apply, you need to log in to your Online Services account and follow the steps. If you don't have an account, you can sign up. If you wish to apply by mail, please fill out the Contact Us form to request a paper form.

You must also submit the following documentation: Full resume of work experience on boiler and pressure equipment, Letter from the company you worked for, confirming your employment, the position you held, and company website information. One of the following: Approved Fifth or Fourth (as applicable) Class course completion certificate, Approved mechanical engineering degree or diploma; international degree or diploma must be assessed by an approved credentialing agency, Marine Engineer (motor) certificate of competency. Note: all documents must be submitted in English.",Certification,BPVR
"I have an out of province power engineer certificate, how can I transfer that to BC?","To transfer a power engineer certificate from another province to BC, you need to submit a copy of the original wall certificate, which is active and shows the date of issue, from the province you are coming from. You can apply online by logging in to your Online Services account and following the steps. If you don't have an account, you can sign up. If you wish to apply by mail, please fill out the Contact Us form to request a paper form.",Certification,BPVR
"I need to apply for an interim certificate, how can I apply?","To apply for an interim certificate, you need to follow these steps:
1. Submit a completed application form via email.
2. Pay the required fee.
Please note that the average processing time is four weeks, from the time you submit your completed application form to when your certification is confirmed. During this time, Technical Safety BC will reach out to you about fee payment.",Certification,BPVR
How can I amend a permit?,"To amend a permit, you must contact Technical Safety BC and provide the original permit number, the amended value of the work, and details on the change in the scope of work. You will also need to pay the applicable fees. This process is applicable for both electrical and gas installation permits.

Please note that often, the scope of work changes over the course of a project, affecting the value of the permit. If this is the case, a permit amendment must be submitted. A permit for the final value and scope of work must be in place before requesting for a final inspection. Undervalued work may be subject to enforcement action.",Permit,All
