Index,Question,Answer,Answer Update Time,Source,Source Update Time,Technology,Service,Category,Class Of Work,Form,Form ID
32,What is the process for electric product approvals?,"The Standards Council of Canada accredits two types of organizations for electrical equipment approval,
	Certification bodies
	Inspection bodies.
A list of the certification/inspection bodies can be found here linked within the following bulletin:
https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/approved-certification-marks-electrical-products",5/20/2024,https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/approved-certification-marks-electrical-products,5/22/2024,Electrical,Regulatory Resources,Regulatory Notices,,,
33,How do I certify this electrical equipment?,"A list of the certification/inspection bodies can be found here linked within the following bulletin for certifying electrical equipment:
https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/approved-certification-marks-electrical-products",5/21/2024,https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/approved-certification-marks-electrical-products,5/22/2024,Electrical,Regulatory Resources,Regulatory Notices,,,
38,"Where would I or a client find a plant registration number? 

What document would this info be on? ","The plant registration number should typically be found on the name plate attached to the unit itself. Alternatively, the manager of the plant should have access to this information.",5/22/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/boiler-plant-registration-guide,,Boiler Pressure Vessels,Permit,General,,,
40,Can clients install EV chargers themselves through an EL Homeowner permit?,"Clients should be able to proceed with the installation themselves, given that they pass the questionnaire and the permit does not exceed 200A. It's important to note that this option is available for single-family dwellings without a suite, irrespective of whether the property is rented or not.  

When filling out the online form, clients are only required to complete the sections marked with an asterisk (*).

For further inquiries or clarification, clients can always be directed to the Safety Officer (SO) responsible for their area.",5/23/2024,https://www.technicalsafetybc.ca/apply-for/permits/homeowner-permits/electrical ,,Electrical,Permit,Homeowner Permit,,,
44,How do I update my QC manual in boiler and pressure vessel?,"For quality control program revisions to an existing licence (with or without name/address change), please submit your revised quality control program, along with a completed application form via our contact form.

Changes, such as the ones above, require a safety services fee.",5/24/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/boiler-pressure-vessel-licences,,Boiler Pressure Vessels,License,Application,,,
46,How can I apply for a Boiler License?,"Complete the boiler contractor licence application form.
Obtain your BC Business Registration number documentation.
Submit the completed form and your BC Business Registration number documents via our contact form.
While your application is being processed, we will contact you to pay the relevant boiler licence fee.",5/25/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/boiler-pressure-vessel-licences,,Boiler Pressure Vessels,License,Application,,"Boiler, Pressure Vessels, Refrigeration Contractor Licence Application",811-11
60,Can I write my Power Engineer Exam online?,"SOPEEC Power Engineer exams cannot be taken online. If you need to take an in-person exam, please apply for an exam.",5/26/2024,https://www.technicalsafetybc.ca/apply-for/certification/exam-information,,Boiler Pressure Vessels,Certification,Exam,,,
61,How can I apply to be a Class A Pressure Welder?,"To be eligible for this certificate, you must have one of the following:

a BC welder certificate issued by Skilled Trades BC and endorsed with a Red Seal credential;
a BC welder level A or B certificate issued by Skilled Trades BC; or
a welder trade qualification, endorsed with or without a Red Seal credential, by an apprenticeship authority in another jurisdiction of Canada.",5/27/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/pressure-welder-certification/class-a,,Boiler Pressure Vessels,Certification,Application,Pressure Welder Class A,,
62,"I have my pressure welding certificate in another province, can I transfer that here?","If you have a pressure welding certificate from another province or territory, you can apply for a Class A Pressure Welder certificate in BC.",5/28/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/pressure-welder-certification/transfer-to-bc,,Boiler Pressure Vessels,Certification,Transfer,Pressure Welder Class A,,
63,How do I renew my Class A Pressure Welder Certificate?,"Renew online using your Online Services account and navigate to the ""Certifications"" section.

To successfully renew, a performance qualification test must be taken with a recognized test administrator, and can be completed up to six months in advance of your certificate expiry date. View the Class A renewal syllabus for full details.

When you are ready to submit your application for renewal, the following should be included:

picture(s) or scan(s) of your updated welder's logbook with the entry made by the test administrator for the renewal performance qualification test (must be dated no more than 6 months prior to the certification expiry date); and
a copy of the welding performance qualification record (e.g.: ASME Form QW-484A) issued by the recognized test administrator for the renewal performance qualification test (test must be successfully completed no more than 6 months prior to the certification expiry date).
For your qualification test, you will need:

your welder's logbook; and
the welding procedure specification you wish to use to successfully complete a performance qualification test.",5/29/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/pressure-welder-certification/renewal,,Boiler Pressure Vessels,Certification,Renewal,Pressure Welder Class A,,
64,I have out of country credentials and want to be a power engineer in BC.  How can I apply?,"If you have qualifications and experience as a power engineer from outside of Canada, there are two streams available for recognition in BC.

Stream one: You already hold acceptable Boiler Operator Credentials and have more than 18 months of experience operating a third class boiler plant or equivalent in a position requiring the credential. These applications are assessed at Third Class or higher Power Engineer certificate level, within the provision of BC Reg.105/ 2004 s.2.10.

Stream two: You do not hold any acceptable Boiler Operator Credentials but have at least 18 months of international experience related to the operation, design, construction, repair, or maintenance of boiler equipment. These applications are assessed as either a Fourth or Fifth Class Power Engineer certificate level.",5/30/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-engineer-certification/transfer-to-bc,,Boiler Pressure Vessels,Certification,Application,Power Engineer,,
65,"I have an out of province power engineer certificate, how can I transfer that to BC?","To transfer a power engineer certificate from another province to BC, submit the following:

A copy of the original wall certificate, which is active and shows the date of issue, from the province you are coming from.  To apply, log in to your Online Services account and follow the steps. Don't have an account? Sign up now.

If you wish to apply by mail, please fill out the Contact Us form to request a paper form.",5/31/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-engineer-certification/transfer-to-bc,,Boiler Pressure Vessels,Certification,Transfer,Power Engineer,,
66,"I need to apply for an interim certifcate, how can I apply?","A chief engineer of a plant may apply for an interim certificate on behalf of a power engineer. If there is no chief engineer, then the owner of the plant may apply instead.

In addition, the power engineer must:

Hold a power engineer certificate that is one class lower than required for the relevant position
Be employed in the plant or an equivalent plant for a period of at least 12 months
If you want to apply for a Category A interim certificate because your power engineer needs more time to complete the required Class certificate, they must also have completed at least one exam towards their Fourth or Third Class certificate, or at least two exams towards their Second or First Class Power Engineer certificate.  You can apply for an interim certificate by following these steps:

Submit a completed application form via email.
Pay a fee.
You can expect an average processing time of four weeks, from the time you submit your completed application form to when your certification is confirmed. During this time, Technical Safety BC will reach out to you about fee payment.",6/1/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-engineer-certification/interim-certificates,,Boiler Pressure Vessels,Certification,Application,Power Engineer,,
70,Is a current FSR code course a pre-requisite for the FSR exam for Electrical Engineers and Electrical Technologists?,"An electrical engineer or electrical technologist may request either a Class FSR A or a Class FSR B exam.

Professional Engineers or Electrical Technologists are not required to submit proof of a code course for an FSR exam application. 
If successful on their exam, they will be required to meet FSR renewal requirements, over and above what their professional designation association requires. 


Professional Engineers (P.Eng) Exam Eligibility 

A degree in Electrical Engineering.
Acceptable proof of relevant work experience utilizing the Canadian Electrical Code C22.1-18 Part 1.
Valid registration as a professional engineer, and good standing with Engineers and Geoscientists British Columbia (formerly APEG BC Association of Professional Engineers and Geoscientists of British Columbia).

Appliaed Science Technologiest (AScT) Exam Eligibility

An Electrical Engineering Technology (power option) qualification.
Acceptable proof of relevant work experience utilizing the Canadian Electrical Code C22.1-18 Part 1.
Valid registration as an Applied Science Technologist and good standing with the Applied Science Technologists and Technicians of British Columbia (ASTTBC).",6/2/2024,https://www.technicalsafetybc.ca/technologies/electrical/electrical-fsr-certification/class-a,,Electrical,Certification,Exam,Electrical Class A FSR,,
71,"Client is applying for Class FSR A exam, what if high voltage experience is obtained outside of British Columbia?","High voltage installation experience obtained outside of British Columbia that cannot be signed off by a Class FSR A, can be documented through the following process:

Sworn affidavit
Where letters from the FSR are not available, you may provide this verification, for review by Technical Safety BC, in the form of a sworn affidavit or statutory declaration.

A notary or lawyer should notarize the document(s).  

These documents shall attest to and specify the complete information outlined in the letters from employer.",6/3/2024,https://www.technicalsafetybc.ca/documenting-electrical-work-experience,,Electrical,Certification,Application,Electrical Class A FSR,,
72,I am an out of Province Electrician how do I apply to get my FSR in BC?,"If you have electrical qualifications and experience from outside BC, you still need to obtain a certificate of qualification in order to work as an electrical field safety representative (FSR) in this province. To become certified as an FSR, you'll need to meet certain eligibility requirements and pass a certification exam. In lieu of provincial credentials, you must have a Canadian Interprovincial Qualification (Red Seal) in the Trade of Electrician. For more information on the available certificate classes and their eligibility requirements, review our FSR classes. If you are an Alberta Master Electrician, there is a separate certification process. ",6/4/2024,https://www.technicalsafetybc.ca/technologies/electrical/electrical-fsr-certification/transfer-to-bc,,Electrical,Certification,Application,Electrical FSR,,
73,"I'm an Alberta Master Electrician, can I transfer that to BC?","The equivalent certification of an Alberta Master Electrician in BC is a Class A FSR certificate of qualification, with a designation of BC Master Electrician. A Class A FSR certificate entitles you to submit declarations on behalf of your employer for any type of regulated electrical work. There are no voltage or ampere limitations.

 If you are an Alberta Master Electrician, you can obtain your Class A FSR certificate when you:

Provide proof of your qualifications, a copy of your wall certificate, and a copy of your wallet card.
Pass an exam based on the Acts, Regulations, Directives (ARD) of BC.
This Master Electrician equivalency exists between BC and Alberta only.  You must provide proof that you have both of the following:

Active Certificate of Qualification for Certified Master Electrician (CME - Wall Certificate)
Active Wallet card as issued in Alberta by the Safety Codes Council, to verify current registration in Alberta.",6/5/2024,https://www.technicalsafetybc.ca/technologies/electrical/electrical-fsr-certification/transfer-to-bc,,Electrical,Certification,Transfer,,,
76,How do I register my plant?,Refer to teh boiler plant registration guide,6/6/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/boiler-plant-registration-guide,,Boiler Pressure Vessels,Permit,General,,,
78,Who offers the FSR renewal course?,Our website has a list of recognized training providers.,6/7/2024,https://www.technicalsafetybc.ca/find-a/recognized-training-provider,,Electrical,Certification,Training Provider,,,
79,Who offers the FSR course?,Our website has a list of recognized training providers. ,6/8/2024,https://www.technicalsafetybc.ca/find-a/recognized-training-provider,,Electrical,Certification,Training Provider,,,
